Version,File Name,LOC,LOC_touched,NR,NFix,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,Age,Buggy
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,393,585,11,2,3,489,209,44,393,209,35,36,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,132,146,3,0,3,139,75,46,132,75,44,36,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,533,579,8,1,3,556,521,69,533,521,66,36,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,603,763,9,2,3,683,573,75,603,573,67,36,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,148,148,1,0,1,148,148,148,148,148,148,36,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,174,194,3,0,2,184,173,61,174,173,58,36,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,148,168,3,0,2,158,147,52,148,147,49,36,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,92,1570,6,1,3,831,763,138,92,763,15,36,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,234,642,6,0,3,438,209,73,234,209,39,36,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,54,64,3,0,3,59,54,19,54,54,18,36,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,38,48,2,0,2,43,38,21,38,38,19,36,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,98,106,2,0,2,102,98,51,98,98,49,36,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,39,59,3,0,2,49,38,16,39,38,13,36,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,69,127,3,0,3,98,94,32,69,94,23,36,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,94,94,1,0,1,94,94,94,94,94,94,1,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieLayoutVersionTest.java,261,321,3,1,1,291,246,97,261,246,87,3,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/EntryLogTest.java,90,90,1,0,1,90,90,90,90,90,90,1,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTestClient.java,71,77,4,0,2,74,61,18,71,61,17,16,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieRecoveryTest.java,617,667,5,1,2,642,607,128,617,607,123,36,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerCacheTest.java,139,149,4,0,2,144,132,36,139,132,34,26,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestFencing.java,345,351,3,1,1,348,343,116,345,343,115,3,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalAsyncLedgerOpsTest.java,47,47,1,0,1,47,47,47,47,47,47,1,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieFailureTest.java,47,47,1,0,1,47,47,47,47,47,47,1,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieReadWriteTest.java,47,47,1,0,1,47,47,47,47,47,47,1,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieRecoveryTest.java,46,46,1,0,1,46,46,46,46,46,46,1,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalLedgerDeleteTest.java,47,47,1,0,1,47,47,47,47,47,47,1,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/LedgerLayoutTest.java,136,136,1,0,1,136,136,136,136,136,136,1,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/TestLedgerManager.java,261,261,1,0,1,261,261,261,261,261,261,1,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/proto/TestProtoVersions.java,113,115,2,0,1,114,113,57,113,113,56,5,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/AsyncLedgerOpsTest.java,258,298,4,1,3,278,256,69,258,256,64,36,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BaseTestCase.java,257,401,12,2,3,329,176,27,257,176,21,36,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieClientTest.java,242,308,6,0,3,275,232,45,242,232,40,36,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieFailureTest.java,305,373,6,0,3,339,305,56,305,305,50,36,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieJournalRollingTest.java,219,275,3,1,2,247,222,82,219,222,73,3,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieReadWriteTest.java,1040,1354,10,1,3,1197,720,119,1040,720,104,36,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieZKExpireTest.java,92,106,3,0,3,99,90,33,92,90,30,15,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/CloseTest.java,75,91,3,0,2,83,74,27,75,74,25,36,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConcurrentLedgerTest.java,188,218,6,0,3,203,178,33,188,178,31,36,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConditionalSetTest.java,118,126,3,1,2,122,116,40,118,116,39,7,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConfigurationTest.java,55,55,1,0,1,55,55,55,55,55,55,2,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerDeleteTest.java,154,200,4,0,3,177,163,44,154,163,38,36,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerRecoveryTest.java,114,144,4,0,3,129,88,32,114,88,28,36,YES
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LoopbackClient.java,120,142,5,0,3,131,117,26,120,117,24,36,NO
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/test/NIOServerFactoryTest.java,63,73,3,0,3,68,60,22,63,60,21,36,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java,72,72,1,0,1,72,72,72,72,72,72,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java,42,42,1,0,1,42,42,42,42,42,42,36,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,48,64,3,0,2,56,48,18,48,48,16,36,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java,63,71,2,0,2,67,63,33,63,63,31,36,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,237,277,2,0,2,257,237,128,237,237,118,36,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java,133,145,3,0,2,139,133,46,133,133,44,36,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,137,163,4,0,2,150,136,37,137,136,34,36,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,177,185,3,0,2,181,176,60,177,176,59,36,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,46,48,2,0,2,47,46,23,46,46,23,36,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java,128,146,5,0,3,137,127,27,128,127,25,36,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java,149,155,3,0,2,152,148,50,149,148,49,36,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java,58,60,2,0,2,59,58,29,58,58,29,36,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,149,155,2,0,2,152,149,76,149,149,74,36,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java,74,82,2,0,2,78,74,39,74,74,37,36,NO
